part,operator,repeat,measurement
P01,Op_A,1,24.918066505200336
P01,Op_A,2,24.908703300437896
P01,Op_B,1,24.931209507696995
P01,Op_B,2,24.94414375859377
P01,Op_C,1,24.905699571042007
P01,Op_C,2,24.902100078420258
P02,Op_A,1,25.041659047118415
P02,Op_A,2,25.03641739855894
P02,Op_B,1,25.02577085189463
P02,Op_B,2,25.049426455259358
P02,Op_C,1,25.007635057121938
P02,Op_C,2,25.033453702949522
P03,Op_A,1,24.9476254706719
P03,Op_A,2,24.96013573360079
P03,Op_B,1,24.975441520130985
P03,Op_B,2,25.00639116172715
P03,Op_C,1,24.9627238609648
P03,Op_C,2,24.97205459368413
P04,Op_A,1,25.014074179954594
P04,Op_A,2,24.99333680142918
P04,Op_B,1,25.000283309678196
P04,Op_B,2,24.979997146041796
P04,Op_C,1,24.976248513688184
P04,Op_C,2,24.96715164672965
P05,Op_A,1,25.068238440097183
P05,Op_A,2,25.102314273491935
P05,Op_B,1,25.085973645487048
P05,Op_B,2,25.071115829183306
P05,Op_C,1,25.086872324669418
P05,Op_C,2,25.08058345499261
P06,Op_A,1,24.945462574805717
P06,Op_A,2,24.900255819370173
P06,Op_B,1,24.969577836782534
P06,Op_B,2,24.9319700512853
P06,Op_C,1,24.934017094008603
P06,Op_C,2,24.960204769275965
P07,Op_A,1,25.042214618470723
P07,Op_A,2,24.995221195365772
P07,Op_B,1,24.99821686719283
P07,Op_B,2,25.041339826230583
P07,Op_C,1,25.004015464421776
P07,Op_C,2,24.994371405628332
P08,Op_A,1,25.006887177201936
P08,Op_A,2,24.99512570533596
P08,Op_B,1,25.018088761053583
P08,Op_B,2,25.008573626115133
P08,Op_C,1,25.000404717922773
P08,Op_C,2,24.976150908660806
P09,Op_A,1,25.063422473123218
P09,Op_A,2,25.052519893487215
P09,Op_B,1,25.06175000346728
P09,Op_B,2,25.035290494021048
P09,Op_C,1,25.05955002917589
P09,Op_C,2,25.033849801435736
P10,Op_A,1,25.062229934865368
P10,Op_A,2,25.04646683497272
P10,Op_B,1,25.065222537899153
P10,Op_B,2,25.065766112210714
P10,Op_C,1,25.00101023794887
P10,Op_C,2,25.052045923798744
